fecha,clae2,mujer,p10,p25,w_mean,w_median,p75,p90,p99
2007-01-01,80,1,483,880,1193,1070,1310,1935,4000
2007-01-01,81,0,382,613,964,943,1129,1441,3039
2007-01-01,81,1,338,481,750,674,992,1146,1925
2007-01-01,82,0,420,818,2149,1236,1813,2958,12000
2007-01-01,82,1,387,743,1459,1096,1489,2267,7395
2007-01-01,85,0,151,319,1036,714,1290,2147,5580
2007-01-01,85,1,209,470,1023,901,1309,1953,3744
2007-01-01,86,0,720,1171,1993,1612,2267,3300,8716
2007-01-01,86,1,668,1100,1660,1512,2001,2634,4859
2007-01-01,87,0,618,995,1485,1323,1685,2424,5368
2007-01-01,87,1,610,989,1275,1267,1514,1818,3017
2007-01-01,88,0,447,687,1233,1170,1461,2089,4376
2007-01-01,88,1,439,699,1198,1123,1418,1952,4042
2007-01-01,90,0,240,552,1412,1085,1567,2282,7923
2007-01-01,90,1,313,586,1205,1046,1412,2069,5515
2007-01-01,91,0,529,927,1694,1274,1825,2871,10562
2007-01-01,91,1,488,707,1321,1100,1513,2165,6608
2007-01-01,92,0,761,1175,2194,1579,2264,4178,9493
2007-01-01,92,1,611,967,1766,1327,1799,2619,6667
2007-01-01,93,0,333,713,1504,1227,1768,2621,8000
2007-01-01,93,1,260,559,1095,926,1430,1995,4204
2007-01-01,94,0,587,1100,1959,1557,2218,3291,9293
2007-01-01,94,1,434,791,1482,1268,1821,2600,5851
2007-01-01,95,0,576,791,1460,1191,1467,2088,6267
2007-01-01,95,1,527,635,1159,1100,1315,1783,5086
2007-01-01,96,0,390,608,1145,984,1299,1741,5007
2007-01-01,96,1,404,587,952,849,1176,1433,3177
2007-01-01,999,0,554,900,1705,1218,1982,3192,8447
2007-01-01,999,1,578,851,1857,1268,2348,3513,10359
2007-02-01,1,0,318,677,1038,892,1158,1610,4069
2007-02-01,1,1,240,480,1063,871,1307,2058,4095
2007-02-01,2,0,272,496,928,808,1104,1505,3700
2007-02-01,2,1,282,523,1044,861,1275,1900,3625
2007-02-01,3,0,685,1202,3337,2077,4114,7205,20014
2007-02-01,3,1,996,1306,2309,1804,2363,4622,9283
2007-02-01,5,0,1397,2083,4516,4276,6344,8418,10000
2007-02-01,5,1,1277,1872,3259,3165,4118,5337,8505
2007-02-01,6,0,3143,4269,9508,6039,10000,15705,65034
2007-02-01,6,1,2204,3303,6446,4704,7085,10500,42071
2007-02-01,7,0,1160,1674,3852,3125,4510,7173,20639
2007-02-01,7,1,1035,1620,3431,2735,4351,6856,13501
2007-02-01,8,0,701,1002,2255,1453,2346,4340,11992
2007-02-01,8,1,596,1032,2228,1479,2489,4491,12456
2007-02-01,9,0,1150,2479,4430,3855,5439,7933,15747
2007-02-01,9,1,786,1500,3178,2380,3707,6050,12730
2007-02-01,10,0,711,1073,1960,1477,2225,3360,9157
2007-02-01,10,1,523,874,1452,1219,1650,2405,5853
2007-02-01,11,0,632,1143,2484,1827,2849,4001,11423
2007-02-01,11,1,400,900,2008,1547,2464,3474,10000
2007-02-01,12,0,668,1086,5353,1932,3089,5412,51549
2007-02-01,12,1,267,753,3306,1093,1955,4521,68330
2007-02-01,13,0,818,1064,1638,1345,1838,2670,6187
2007-02-01,13,1,651,924,1328,1173,1491,2102,4469
2007-02-01,14,0,608,894,1286,1126,1407,1919,4999
2007-02-01,14,1,595,859,1174,1088,1324,1664,3433
2007-02-01,15,0,637,975,1498,1264,1690,2319,6000
2007-02-01,15,1,608,920,1335,1157,1472,1999,4598
2007-02-01,16,0,533,800,1245,1053,1369,1846,5431
2007-02-01,16,1,570,848,1399,1187,1513,2026,6000
2007-02-01,17,0,847,1212,2437,1822,2759,4087,11170
2007-02-01,17,1,644,988,1874,1383,2150,3431,9527
2007-02-01,18,0,738,1107,2001,1503,2210,3328,8014
2007-02-01,18,1,581,923,1564,1291,1830,2761,6000
2007-02-01,19,0,1286,1530,4601,2650,4819,8764,28703
2007-02-01,19,1,1216,1356,2848,1596,2958,5453,17253
2007-02-01,20,0,1022,1375,3200,2100,3516,6000,17442
2007-02-01,20,1,709,1195,2392,1689,2701,4409,12373
2007-02-01,21,0,1246,1899,4235,3009,5198,8297,15947
2007-02-01,21,1,1066,1568,2850,2265,3269,5076,10000
2007-02-01,22,0,889,1192,2017,1573,2298,3399,8613
2007-02-01,22,1,688,1103,1673,1398,1934,2708,6087
2007-02-01,23,0,815,1131,2019,1499,2228,3404,10000
2007-02-01,23,1,627,1024,1857,1338,2111,3349,8959
2007-02-01,24,0,919,1348,3089,2429,3741,5299,12616
2007-02-01,24,1,849,1250,2822,2120,3670,5261,11661
2007-02-01,25,0,680,949,1593,1264,1802,2688,6533
2007-02-01,25,1,577,911,1477,1194,1699,2505,5723
2007-02-01,26,0,875,1176,2368,1623,2687,4163,10955
2007-02-01,26,1,780,1162,2066,1552,2575,3584,7245
2007-02-01,27,0,779,1063,1958,1453,2185,3500,9564
2007-02-01,27,1,672,999,1699,1315,1869,2738,6821
2007-02-01,28,0,824,1076,1986,1497,2248,3500,9399
2007-02-01,28,1,633,1000,1763,1377,2069,3084,7877
2007-02-01,29,0,1071,1428,2738,2109,3315,4660,11249
2007-02-01,29,1,943,1289,2474,1806,2789,4098,10000
2007-02-01,30,0,713,1168,2242,2048,2874,3660,9827
2007-02-01,30,1,700,1187,2216,1954,2816,3779,8000
2007-02-01,31,0,606,926,1388,1176,1515,2103,5478
2007-02-01,31,1,587,932,1397,1224,1544,2193,5613
2007-02-01,32,0,662,982,1617,1272,1778,2709,7278
2007-02-01,32,1,608,904,1421,1238,1669,2250,5131
2007-02-01,33,0,642,994,2225,1404,2432,4230,10513
2007-02-01,33,1,585,912,2051,1251,2184,3368,9000
2007-02-01,35,0,1430,2131,4062,3209,4835,7503,15782
2007-02-01,35,1,977,1580,3004,2433,3652,5364,11061
2007-02-01,36,0,1250,1667,2764,2529,3424,4422,8240
2007-02-01,36,1,1058,1500,2494,2269,3121,4100,7265
2007-02-01,37,0,864,1172,1816,1622,2206,2896,6014
2007-02-01,37,1,691,1162,1661,1591,1995,2681,4067
2007-02-01,38,0,1018,1425,2235,2125,2671,3546,6730
2007-02-01,38,1,481,903,2018,1523,2697,3668,8247
2007-02-01,39,0,583,1000,1562,1320,1780,2635,6237
2007-02-01,39,1,575,851,1330,1174,1494,2181,4571
2007-02-01,41,0,385,679,1093,1012,1308,1703,3636
2007-02-01,41,1,559,794,1499,1194,1573,2272,4910
2007-02-01,42,0,607,1009,1809,1400,2159,3348,7517
2007-02-01,42,1,667,1058,1744,1486,2103,2983,6462
2007-02-01,43,0,451,763,1364,1119,1546,2407,5418
2007-02-01,43,1,470,692,1336,1167,1555,2344,5479
2007-02-01,45,0,684,1125,1741,1341,1872,2834,8222
2007-02-01,45,1,593,992,1554,1286,1761,2526,6000
2007-02-01,46,0,604,1069,1883,1296,1837,3140,10131
2007-02-01,46,1,592,930,1674,1257,1716,2800,8772
2007-02-01,47,0,608,1008,1488,1243,1537,2133,6000
2007-02-01,47,1,581,724,1220,1178,1402,1800,3871
2007-02-01,49,0,815,1264,2190,2041,2819,3571,6275
2007-02-01,49,1,540,848,1589,1306,1993,2773,6490
2007-02-01,50,0,1142,1785,4046,3365,5130,8177,15479
2007-02-01,50,1,848,1279,2341,1839,2854,4430,8933
2007-02-01,51,0,1741,2300,4243,3125,4610,7511,18504
2007-02-01,51,1,1536,1922,2801,2506,3372,4316,7652
2007-02-01,52,0,529,1072,2164,1586,2570,4055,10000
2007-02-01,52,1,624,1078,1815,1438,2090,3151,8080
2007-02-01,53,0,1001,1505,2259,2110,2698,3394,6614
2007-02-01,53,1,637,1322,2029,1947,2511,3185,6106
2007-02-01,55,0,619,1058,1699,1453,1858,2371,6576
2007-02-01,55,1,552,843,1401,1347,1672,2058,3994
2007-02-01,56,0,408,651,1130,1056,1425,1781,3535
