date,clae2,salary,dollar,dolarized_salary
2007-05-01,11,2469,3.12,791
2007-05-01,12,2395,3.12,768
2007-05-01,13,1498,3.12,480
2007-05-01,14,1242,3.12,398
2007-05-01,15,1459,3.12,468
2007-05-01,16,1451,3.12,465
2007-05-01,17,2042,3.12,654
2007-05-01,18,1725,3.12,553
2007-05-01,19,3567,3.12,1143
2007-05-01,20,2579,3.12,827
2007-05-01,21,2872,3.12,921
2007-05-01,22,1851,3.12,593
2007-05-01,23,1908,3.12,612
2007-05-01,24,3159,3.12,1012
2007-05-01,25,1714,3.12,549
2007-05-01,26,2226,3.12,713
2007-05-01,27,1849,3.12,593
2007-05-01,28,1944,3.12,623
2007-05-01,29,2742,3.12,879
2007-05-01,30,2373,3.12,761
2007-05-01,31,1464,3.12,469
2007-05-01,32,1482,3.12,475
2007-05-01,33,2007,3.12,643
2007-05-01,35,3067,3.12,983
2007-05-01,36,2666,3.12,854
2007-05-01,37,1709,3.12,548
2007-05-01,38,2237,3.12,717
2007-05-01,39,923,3.12,296
2007-05-01,41,1430,3.12,458
2007-05-01,42,1827,3.12,586
2007-05-01,43,1372,3.12,440
2007-05-01,45,1530,3.12,490
2007-05-01,46,1701,3.12,545
2007-05-01,47,1240,3.12,397
2007-05-01,49,1721,3.12,552
2007-05-01,50,2541,3.12,814
2007-05-01,51,2865,3.12,918
2007-05-01,52,1857,3.12,595
2007-05-01,53,2248,3.12,721
2007-05-01,55,1446,3.12,463
2007-05-01,56,957,3.12,307
2007-05-01,58,2151,3.12,689
2007-05-01,59,1824,3.12,585
2007-05-01,60,2397,3.12,768
2007-05-01,61,2369,3.12,759
2007-05-01,62,2490,3.12,798
2007-05-01,63,2234,3.12,716
2007-05-01,64,2882,3.12,924
2007-05-01,65,2328,3.12,746
2007-05-01,66,1649,3.12,529
2007-05-01,68,1203,3.12,386
2007-05-01,69,1331,3.12,427
2007-05-01,70,1492,3.12,478
2007-05-01,71,1703,3.12,546
2007-05-01,72,2819,3.12,904
2007-05-01,73,1723,3.12,552
2007-05-01,74,1204,3.12,386
2007-05-01,75,856,3.12,274
2007-05-01,77,1544,3.12,495
2007-05-01,78,1109,3.12,355
2007-05-01,79,1615,3.12,518
2007-05-01,80,1230,3.12,394
2007-05-01,81,748,3.12,240
2007-05-01,82,1295,3.12,415
2007-05-01,85,1184,3.12,379
2007-05-01,86,1616,3.12,518
2007-05-01,87,1277,3.12,409
2007-05-01,88,1219,3.12,391
