date,clae2,salary,dollar,dolarized_salary
2007-05-01,47,1477,3.12,473
2007-05-01,49,2345,3.12,752
2007-05-01,50,4483,3.12,1437
2007-05-01,51,5152,3.12,1651
2007-05-01,52,2287,3.12,733
2007-05-01,53,2468,3.12,791
2007-05-01,55,1731,3.12,555
2007-05-01,56,1175,3.12,377
2007-05-01,58,2948,3.12,945
2007-05-01,59,2572,3.12,824
2007-05-01,60,3268,3.12,1047
2007-05-01,61,3761,3.12,1205
2007-05-01,62,3199,3.12,1025
2007-05-01,63,3234,3.12,1037
2007-05-01,64,4098,3.12,1313
2007-05-01,65,2927,3.12,938
2007-05-01,66,2661,3.12,853
2007-05-01,68,1581,3.12,507
2007-05-01,69,1839,3.12,589
2007-05-01,70,2032,3.12,651
2007-05-01,71,1959,3.12,628
2007-05-01,72,2945,3.12,944
2007-05-01,73,3062,3.12,981
2007-05-01,74,1422,3.12,456
2007-05-01,75,995,3.12,319
2007-05-01,77,2312,3.12,741
2007-05-01,78,1454,3.12,466
2007-05-01,79,1984,3.12,636
2007-05-01,80,1265,3.12,405
2007-05-01,81,989,3.12,317
2007-05-01,82,1812,3.12,581
2007-05-01,85,1173,3.12,376
2007-05-01,86,1961,3.12,629
2007-05-01,87,1491,3.12,478
2007-05-01,88,1244,3.12,399
2007-05-01,90,1015,3.12,325
2007-05-01,91,1597,3.12,512
2007-05-01,92,2120,3.12,679
2007-05-01,93,1468,3.12,471
2007-05-01,94,1917,3.12,614
2007-05-01,95,1395,3.12,447
2007-05-01,96,1163,3.12,373
2007-05-01,999,1812,3.12,581
2007-06-01,1,1475,3.1,476
2007-06-01,2,1327,3.1,428
2007-06-01,3,6279,3.1,2025
2007-06-01,5,5115,3.1,1650
2007-06-01,6,12420,3.1,4006
2007-06-01,7,5567,3.1,1796
2007-06-01,8,3462,3.1,1117
2007-06-01,9,6538,3.1,2109
2007-06-01,10,3190,3.1,1029
2007-06-01,11,3642,3.1,1175
2007-06-01,12,4665,3.1,1505
2007-06-01,13,2706,3.1,873
2007-06-01,14,2066,3.1,666
2007-06-01,15,2556,3.1,825
2007-06-01,16,1901,3.1,613
2007-06-01,17,3982,3.1,1285
2007-06-01,18,3152,3.1,1017
2007-06-01,19,7298,3.1,2354
2007-06-01,20,4835,3.1,1560
2007-06-01,21,6532,3.1,2107
2007-06-01,22,3445,3.1,1111
2007-06-01,23,3289,3.1,1061
2007-06-01,24,5117,3.1,1651
2007-06-01,25,2680,3.1,865
2007-06-01,26,3756,3.1,1212
2007-06-01,27,3256,3.1,1050
2007-06-01,28,3335,3.1,1076
2007-06-01,29,4671,3.1,1507
2007-06-01,30,3310,3.1,1068
2007-06-01,31,2201,3.1,710
2007-06-01,32,2679,3.1,864
2007-06-01,33,3291,3.1,1062
2007-06-01,35,5609,3.1,1809
2007-06-01,36,4404,3.1,1421
2007-06-01,37,2797,3.1,902
2007-06-01,38,3567,3.1,1151
2007-06-01,39,2982,3.1,962
2007-06-01,41,1680,3.1,542
2007-06-01,42,2730,3.1,881
2007-06-01,43,2086,3.1,673
2007-06-01,45,2669,3.1,861
2007-06-01,46,2848,3.1,919
2007-06-01,47,2231,3.1,720
2007-06-01,49,3351,3.1,1081
2007-06-01,50,6199,3.1,2000
2007-06-01,51,7032,3.1,2268
2007-06-01,52,3271,3.1,1055
2007-06-01,53,3263,3.1,1053
2007-06-01,55,2400,3.1,774
2007-06-01,56,1653,3.1,533
2007-06-01,58,4794,3.1,1546
2007-06-01,59,3158,3.1,1019
2007-06-01,60,4671,3.1,1507
2007-06-01,61,5221,3.1,1684
2007-06-01,62,4652,3.1,1501
2007-06-01,63,5270,3.1,1700
2007-06-01,64,5794,3.1,1869
2007-06-01,65,4439,3.1,1432
2007-06-01,66,4153,3.1,1340
2007-06-01,68,2308,3.1,745
2007-06-01,69,2772,3.1,894
2007-06-01,70,2873,3.1,927
2007-06-01,71,2698,3.1,870
2007-06-01,72,4230,3.1,1365
2007-06-01,73,4298,3.1,1386
2007-06-01,74,2385,3.1,769
2007-06-01,75,1438,3.1,464
2007-06-01,77,3254,3.1,1050
2007-06-01,78,1875,3.1,605
2007-06-01,79,2795,3.1,902
2007-06-01,80,1793,3.1,578
2007-06-01,81,1438,3.1,464
2007-06-01,82,2688,3.1,867
2007-06-01,85,1657,3.1,535
2007-06-01,86,2870,3.1,926
2007-06-01,87,2159,3.1,696
2007-06-01,88,1851,3.1,597
2007-06-01,90,2003,3.1,646
2007-06-01,91,2377,3.1,767
2007-06-01,92,3026,3.1,976
2007-06-01,93,2356,3.1,760
2007-06-01,94,2891,3.1,933
2007-06-01,95,2092,3.1,675
2007-06-01,96,1675,3.1,540
2007-06-01,999,3970,3.1,1281
2007-07-01,1,1101,3.14,351
2007-07-01,2,991,3.14,316
2007-07-01,3,4949,3.14,1576
2007-07-01,5,5091,3.14,1621
2007-07-01,6,8836,3.14,2814
2007-07-01,7,4153,3.14,1323
2007-07-01,8,2496,3.14,795
2007-07-01,9,4787,3.14,1525
2007-07-01,10,2375,3.14,756
2007-07-01,11,2631,3.14,838
2007-07-01,12,3327,3.14,1060
2007-07-01,13,1881,3.14,599
2007-07-01,14,1430,3.14,455
2007-07-01,15,1831,3.14,583
2007-07-01,16,1333,3.14,425
2007-07-01,17,2671,3.14,851
2007-07-01,18,2147,3.14,684
2007-07-01,19,4804,3.14,1530
2007-07-01,20,3408,3.14,1085
2007-07-01,21,4683,3.14,1491
2007-07-01,22,2428,3.14,773
2007-07-01,23,2289,3.14,729
2007-07-01,24,3500,3.14,1115
2007-07-01,25,1866,3.14,594
2007-07-01,26,2853,3.14,909
2007-07-01,27,2258,3.14,719
2007-07-01,28,2323,3.14,740
2007-07-01,29,3228,3.14,1028
2007-07-01,30,2376,3.14,757
2007-07-01,31,1546,3.14,492
2007-07-01,32,1849,3.14,589
2007-07-01,33,2518,3.14,802
2007-07-01,35,4178,3.14,1331
2007-07-01,36,3140,3.14,1000
2007-07-01,37,2009,3.14,640
2007-07-01,38,2697,3.14,859
2007-07-01,39,1784,3.14,568
2007-07-01,41,1338,3.14,426
2007-07-01,42,2068,3.14,659
2007-07-01,43,1594,3.14,508
2007-07-01,45,1845,3.14,588
2007-07-01,46,2034,3.14,648
2007-07-01,47,1582,3.14,504
2007-07-01,49,2409,3.14,767
2007-07-01,50,4487,3.14,1429
2007-07-01,51,5299,3.14,1688
2007-07-01,52,2421,3.14,771
